ordem_coluna,variavel,classe_r,descricao,unidade_analise,observacao_metodologica
64,razao_participacao_carga_sobre_escolas,numeric,Razão entre a participação da carteira na carga potencial da rede e sua participação no número de escolas.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
65,diferenca_escolas_referencia_nominal,numeric,Variável diferenca escolas referencia nominal. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
66,razao_matriculas_referencia_nominal,numeric,Variável razao matriculas referencia nominal. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
67,razao_turmas_referencia_nominal,numeric,Variável razao turmas referencia nominal. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
68,razao_carga_potencial_referencia_nominal,numeric,Carga total da carteira dividida pela média das carteiras nominais.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
69,diferenca_carga_potencial_referencia_nominal,numeric,Variável diferenca carga potencial referencia nominal. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
70,percentil_carga_total_entre_carteiras_nominais,numeric,Variável percentil carga total entre carteiras nominais. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
71,faixa_carga_total_entre_carteiras_nominais,character,Faixa quartílica relativa da carga total entre carteiras nominais; não representa desempenho.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
72,percentil_indice_medio_entre_carteiras_nominais,numeric,Variável percentil indice medio entre carteiras nominais. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
73,faixa_indice_medio_entre_carteiras_nominais,character,Faixa quartílica relativa do índice médio entre carteiras nominais; não representa desempenho.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
