produto,ordem_coluna,variavel,classe_r,descricao,unidade_analise,observacao_metodologica
analise_carteiras_assessoras,22,escolas_leitura_operacional_cautelosa,integer,Variável escolas leitura operacional cautelosa. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,23,escolas_divergencia_vinculo_gerencial,integer,Variável escolas divergencia vinculo gerencial. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,24,participacao_maior_contribuicao_escola_pct,numeric,Variável participacao maior contribuicao escola pct. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,25,participacao_duas_maiores_contribuicoes_pct,numeric,Variável participacao duas maiores contribuicoes pct. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,26,hhi_concentracao_escore_operacional,numeric,HHI das participações dos escores escolares; descreve concentração do escore relativo.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,27,participacao_volume_soma_escore_pct,numeric,Variável participacao volume soma escore pct. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,28,participacao_estrutural_soma_escore_pct,numeric,Variável participacao estrutural soma escore pct. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,29,participacao_administrativa_soma_escore_pct,numeric,Variável participacao administrativa soma escore pct. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,30,nota_interpretacao,character,Variável nota interpretacao. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,1,assessora_gerencial_2026,character,Assessora utilizada para a carteira gerencial de 2026.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,2,assessora_vinculo_administrativo,character,Vínculo administrativo preservado separadamente; não comprova exposição nem substitui a assessora gerencial.,escola elegível,Vínculo administrativo separado da assessora gerencial de 2026.
carteira_escola_detalhe,3,divergencia_vinculo_gerencial,logical,Variável divergencia vinculo gerencial. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,4,id_escola,character,Variável id escola. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,5,codigo_inep,character,Variável codigo inep. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,6,nome_canonico,character,Variável nome canonico. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,7,incluir_indice_carga_2026,logical,Variável incluir indice carga 2026. Consultar o script canônico do módulo 18.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,8,matriculas_anos_iniciais,numeric,Variável matriculas anos iniciais. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,9,turmas_anos_iniciais,numeric,Variável turmas anos iniciais. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,10,turmas_anos_iniciais_validas,numeric,Variável turmas anos iniciais validas. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,11,numero_etapas_amplas_ofertadas,numeric,Variável numero etapas amplas ofertadas. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,12,score_dimensao_volume,numeric,Variável score dimensao volume. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,13,cobertura_dimensao_volume,numeric,Variável cobertura dimensao volume. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,14,score_dimensao_estrutural,numeric,Variável score dimensao estrutural. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,15,cobertura_dimensao_estrutural,numeric,Variável cobertura dimensao estrutural. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,16,score_dimensao_administrativa,numeric,Variável score dimensao administrativa. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,17,cobertura_dimensao_administrativa,numeric,Variável cobertura dimensao administrativa. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,18,contribuicao_volume,numeric,Variável contribuicao volume. Consultar o script canônico do módulo 18.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,19,contribuicao_estrutural,numeric,Variável contribuicao estrutural. Consultar o script canônico do módulo 18.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,20,contribuicao_administrativa,numeric,Variável contribuicao administrativa. Consultar o script canônico do módulo 18.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,21,indice_carga_potencial_operacional,numeric,Variável indice carga potencial operacional. Consultar o script canônico do módulo 18.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,22,cobertura_indice_operacional,numeric,Variável cobertura indice operacional. Consultar o script canônico do módulo 18.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,23,soma_indice_operacional_carteira,numeric,"Soma dos índices operacionais das escolas da carteira; agregado relativo, não carga real total.",escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,24,contribuicao_escola_soma_indice_carteira_pct,numeric,Participação da escola na soma dos escores operacionais da carteira.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,25,possui_complexidade_administrativa,logical,Variável possui complexidade administrativa. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,26,exige_leitura_operacional_cautelosa,logical,Variável exige leitura operacional cautelosa. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,27,resultados_educacionais_no_indice,logical,Variável resultados educacionais no indice. Consultar o script canônico do módulo 18.,escola elegível,Medida relativa do índice operacional; não equivale à carga real total.
carteira_escola_detalhe,28,nota_uso,character,Variável nota uso. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
carteira_escola_detalhe,29,nota_carteira,character,Variável nota carteira. Consultar o script canônico do módulo 18.,escola elegível,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,1,assessora_gerencial_2026,character,Assessora utilizada para a carteira gerencial de 2026.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,2,numero_escolas_diagnostico,integer,Variável numero escolas diagnostico. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,3,numero_linhas_escola_serie,integer,Variável numero linhas escola serie. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,4,series_com_previstos,integer,Variável series com previstos. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,5,series_com_avaliados,integer,Variável series com avaliados. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,6,previstos_total_2026,numeric,Variável previstos total 2026. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,7,avaliados_total_2026,numeric,Variável avaliados total 2026. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,8,taxa_participacao_agregada_2026,numeric,Variável taxa participacao agregada 2026. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,9,proficiencia_2026_ponderada_avaliados,numeric,Variável proficiencia 2026 ponderada avaliados. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Resultado educacional descritivo; não representa efeito ou qualidade da assessora.
diagnostico_educacional_carteiras,10,pct_defasagem_2026_ponderado_avaliados,numeric,Variável pct defasagem 2026 ponderado avaliados. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Resultado educacional descritivo; não representa efeito ou qualidade da assessora.
diagnostico_educacional_carteiras,11,pct_intermediario_2026_ponderado_avaliados,numeric,Variável pct intermediario 2026 ponderado avaliados. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Resultado educacional descritivo; não representa efeito ou qualidade da assessora.
diagnostico_educacional_carteiras,12,pct_adequado_2026_ponderado_avaliados,numeric,Variável pct adequado 2026 ponderado avaliados. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Resultado educacional descritivo; não representa efeito ou qualidade da assessora.
diagnostico_educacional_carteiras,13,series_painel_balanceado,integer,Variável series painel balanceado. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,14,series_alerta_composicao,integer,Variável series alerta composicao. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,15,series_aumento_participacao_10pp,integer,Variável series aumento participacao 10pp. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,16,series_queda_participacao_10pp,integer,Variável series queda participacao 10pp. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,17,series_mudanca_previstos_20pct,integer,Variável series mudanca previstos 20pct. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,18,menor_proficiencia_observada_2026,numeric,Variável menor proficiencia observada 2026. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Resultado educacional descritivo; não representa efeito ou qualidade da assessora.
diagnostico_educacional_carteiras,19,maior_pct_defasagem_observado_2026,numeric,Variável maior pct defasagem observado 2026. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Resultado educacional descritivo; não representa efeito ou qualidade da assessora.
diagnostico_educacional_carteiras,20,peso_maximo_no_indice_operacional,numeric,Variável peso maximo no indice operacional. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
diagnostico_educacional_carteiras,21,linhas_marcadas_uso_no_indice,integer,Variável linhas marcadas uso no indice. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
diagnostico_educacional_carteiras,22,alerta_participacao_composicao,logical,Variável alerta participacao composicao. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,23,leitura_menor_proficiencia,character,Variável leitura menor proficiencia. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Resultado educacional descritivo; não representa efeito ou qualidade da assessora.
diagnostico_educacional_carteiras,24,natureza,character,Variável natureza. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
diagnostico_educacional_carteiras,25,advertencia,character,Variável advertencia. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
composicao_operacional_carteiras,1,assessora_gerencial_2026,character,Assessora utilizada para a carteira gerencial de 2026.,assessora × dimensão × métrica,Usar em conjunto com as demais dimensões e com validação qualitativa.
composicao_operacional_carteiras,2,numero_escolas,integer,Quantidade de escolas elegíveis incluídas na carteira operacional.,assessora × dimensão × métrica,Usar em conjunto com as demais dimensões e com validação qualitativa.
composicao_operacional_carteiras,3,metrica,character,Variável metrica. Consultar o script canônico do módulo 18.,assessora × dimensão × métrica,Usar em conjunto com as demais dimensões e com validação qualitativa.
composicao_operacional_carteiras,4,valor,numeric,Variável valor. Consultar o script canônico do módulo 18.,assessora × dimensão × métrica,Usar em conjunto com as demais dimensões e com validação qualitativa.
composicao_operacional_carteiras,5,dimensao,character,Variável dimensao. Consultar o script canônico do módulo 18.,assessora × dimensão × métrica,Usar em conjunto com as demais dimensões e com validação qualitativa.
composicao_operacional_carteiras,6,tipo_metrica,character,Variável tipo metrica. Consultar o script canônico do módulo 18.,assessora × dimensão × métrica,Usar em conjunto com as demais dimensões e com validação qualitativa.
composicao_operacional_carteiras,7,peso_dimensao_indice,numeric,Variável peso dimensao indice. Consultar o script canônico do módulo 18.,assessora × dimensão × métrica,Medida relativa do índice operacional; não equivale à carga real total.
composicao_operacional_carteiras,8,uso_no_indice_operacional,logical,Variável uso no indice operacional. Consultar o script canônico do módulo 18.,assessora × dimensão × métrica,Medida relativa do índice operacional; não equivale à carga real total.
composicao_operacional_carteiras,9,nota_metodologica,character,Variável nota metodologica. Consultar o script canônico do módulo 18.,assessora × dimensão × métrica,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,1,id_escola,character,Variável id escola. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,2,codigo_inep,character,Variável codigo inep. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,3,nome_canonico,character,Variável nome canonico. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,4,assessora_vinculo_administrativo,character,Vínculo administrativo preservado separadamente; não comprova exposição nem substitui a assessora gerencial.,escola institucional,Vínculo administrativo separado da assessora gerencial de 2026.
universo_institucional_carteiras,5,assessora_gerencial_2026,character,Assessora utilizada para a carteira gerencial de 2026.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,6,elegivel_assessoramento_2026,logical,Variável elegivel assessoramento 2026. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,7,recebe_assessoramento_2026,logical,Variável recebe assessoramento 2026. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,8,incluir_indice_carga_2026,logical,Variável incluir indice carga 2026. Consultar o script canônico do módulo 18.,escola institucional,Medida relativa do índice operacional; não equivale à carga real total.
universo_institucional_carteiras,9,status_carga_operacional_2026,character,Variável status carga operacional 2026. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,10,grupo_exposicao_2026,character,Variável grupo exposicao 2026. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,11,incluida_analise_operacional,logical,Indica inclusão da escola no universo operacional de 53 escolas.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,12,motivo_nao_inclusao,character,Variável motivo nao inclusao. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
universo_institucional_carteiras,13,nota_institucional,character,Variável nota institucional. Consultar o script canônico do módulo 18.,escola institucional,Usar em conjunto com as demais dimensões e com validação qualitativa.
