assessora_gerencial_2026,assessora_vinculo_administrativo,divergencia_vinculo_gerencial,id_escola,codigo_inep,nome_canonico,incluir_indice_carga_2026,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,score_dimensao_volume,cobertura_dimensao_volume,score_dimensao_estrutural,cobertura_dimensao_estrutural,score_dimensao_administrativa,cobertura_dimensao_administrativa,contribuicao_volume,contribuicao_estrutural,contribuicao_administrativa,indice_carga_potencial_operacional,cobertura_indice_operacional,soma_indice_operacional_carteira,contribuicao_escola_soma_indice_carteira_pct,possui_complexidade_administrativa,exige_leitura_operacional_cautelosa,resultados_educacionais_no_indice,nota_uso,nota_carteira
clarissa,clarissa,FALSE,ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,TRUE,465,21,21,4,69.71153846153845,1,32.11538461538461,1,0,1,27.884615384615383,11.240384615384613,0,39.125,1,249.19230769230768,15.700725420589597,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
clarissa,clarissa,FALSE,ESC_011,43109225,EMEF DEP VICTOR ISSLER,TRUE,581,23,23,3,87.54807692307692,1,41.34615384615385,1,0,1,35.01923076923077,14.471153846153845,0,49.49038461538461,1,249.19230769230768,19.86031795030097,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
clarissa,clarissa,FALSE,ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,TRUE,585,24,24,4,95.76923076923077,1,61.82692307692307,1,0,1,38.307692307692314,21.639423076923073,0,59.94711538461539,1,249.19230769230768,24.056567371507953,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
clarissa,clarissa,FALSE,ESC_019,43172474,EMEF JEAN PIAGET,TRUE,379,16,16,4,52.54807692307692,1,38.55769230769231,1,0,1,21.01923076923077,13.495192307692307,0,34.51442307692308,1,249.19230769230768,13.850517055101099,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
clarissa,clarissa,FALSE,ESC_024,43109209,EMEF LAURO RODRIGUES,TRUE,339,15,15,3,37.35576923076923,1,48.55769230769231,1,0,1,14.942307692307693,16.995192307692307,0,31.9375,1,249.19230769230768,12.8164068529094,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
clarissa,clarissa,FALSE,ESC_048,43172482,EMEF VER ANTONIO GIUDICE,TRUE,404,18,18,3,49.51923076923077,1,41.05769230769231,1,0,1,19.807692307692307,14.370192307692307,0,34.17788461538461,1,249.19230769230768,13.715465349590987,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
eliane,eliane,FALSE,ESC_008,43177581,EMEF CHICO MENDES,TRUE,541,22,22,3,81.00961538461539,1,52.5,1,0,1,32.40384615384615,18.375,0,50.77884615384615,1,192.92067307692307,26.3211014890038,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
eliane,eliane,FALSE,ESC_020,43109217,EMEF JOAO ANTONIO SATTE,TRUE,417,20,20,3,55.43269230769231,1,35.86538461538461,1,0,1,22.173076923076923,12.552884615384613,0,34.72596153846153,1,192.92067307692307,18.000124602828482,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
eliane,eliane,FALSE,ESC_037,43105530,EMEF PRESIDENTE VARGAS,TRUE,239,11,11,2,19.615384615384613,1,61.05769230769231,1,0,1,7.846153846153846,21.370192307692307,0,29.216346153846153,1,192.92067307692307,15.144227773970469,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
eliane,eliane,FALSE,ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,TRUE,224,10,10,3,18.46153846153846,1,67.64423076923077,1,0,1,7.384615384615384,23.67548076923077,0,31.060096153846153,1,192.92067307692307,16.099931468444336,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
eliane,eliane,FALSE,ESC_052,43173721,EMEF WENCESLAU FONTOURA,TRUE,446,17,17,3,54.32692307692307,1,72.59615384615385,1,0,1,21.73076923076923,25.408653846153847,0,47.13942307692308,1,192.92067307692307,24.434614665752914,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
graziela,graziela,FALSE,ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,TRUE,517,22,22,4,83.89423076923077,1,59.42307692307692,1,0,1,33.557692307692314,20.79807692307692,0,54.35576923076923,1,161.3221153846154,33.69393533005514,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
graziela,graziela,FALSE,ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,TRUE,247,11,11,4,31.58653846153846,1,33.07692307692307,1,0,1,12.634615384615385,11.576923076923075,0,24.21153846153846,1,161.3221153846154,15.008195499925495,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
graziela,graziela,FALSE,ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,TRUE,367,14,14,3,39.61538461538461,1,46.25,1,0,1,15.846153846153847,16.1875,0,32.03365384615385,1,161.3221153846154,19.856951274027715,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
graziela,graziela,FALSE,ESC_051,43175120,EMEF VILA MONTE CRISTO,TRUE,454,20,20,4,66.39423076923077,1,69.03846153846153,1,0,1,26.55769230769231,24.163461538461537,0,50.72115384615385,1,161.3221153846154,31.440917895991657,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
jalize,jalize,FALSE,ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,TRUE,677,27,27,4,97.40384615384616,1,62.78846153846154,1,0,1,38.96153846153847,21.975961538461537,0,60.9375,1,226.76923076923077,26.872031886024423,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
jalize,jalize,FALSE,ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,TRUE,100,5,5,1,5.192307692307692,1,37.40384615384615,1,80,1,2.0769230769230766,13.091346153846153,20,35.168269230769226,1,226.76923076923077,15.508395522388058,TRUE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
jalize,jalize,FALSE,ESC_018,43105548,EMEF HEITOR VILLA LOBOS,TRUE,501,19,19,3,68.50961538461537,1,55.86538461538461,1,0,1,27.40384615384615,19.552884615384613,0,46.95673076923076,1,226.76923076923077,20.70683514246947,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
jalize,jalize,FALSE,ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,TRUE,477,21,21,4,73.75,1,52.69230769230769,1,0,1,29.5,18.44230769230769,0,47.94230769230769,1,226.76923076923077,21.14145183175034,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
jalize,jalize,FALSE,ESC_043,43293050,EMEF RINCAO,TRUE,270,10,10,2,24.374999999999996,1,74.32692307692308,1,0,1,9.75,26.014423076923077,0,35.76442307692308,1,226.76923076923077,15.771285617367708,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
julia,julia,FALSE,ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,TRUE,70,4,4,2,2.9807692307692304,1,39.03846153846153,1,55,1,1.1923076923076923,13.663461538461537,13.75,28.60576923076923,1,205.0096153846154,13.953379297406311,TRUE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
julia,julia,FALSE,ESC_026,43109144,EMEF LIDOVINO FANTON,TRUE,563,23,23,4,91.58653846153845,1,56.25,1,0,1,36.63461538461538,19.6875,0,56.32211538461538,1,205.0096153846154,27.47291402842268,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
julia,julia,FALSE,ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,TRUE,218,10,10,3,17.307692307692307,1,45,1,0,1,6.923076923076923,15.749999999999998,0,22.67307692307692,1,205.0096153846154,11.05951878429717,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
julia,julia,FALSE,ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,TRUE,535,21,21,3,76.0576923076923,1,67.21153846153847,1,0,1,30.423076923076923,23.524038461538463,0,53.94711538461539,1,205.0096153846154,26.31443178087332,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
julia,julia,FALSE,ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,TRUE,154,8,8,1,8.461538461538462,1,43.07692307692307,1,100,1,3.384615384615385,15.076923076923075,25,43.46153846153846,1,205.0096153846154,21.199756109000514,TRUE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
marian,marian,FALSE,ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,TRUE,495,19,19,3,67.35576923076923,1,44.61538461538461,1,0,1,26.942307692307693,15.615384615384613,0,42.55769230769231,1,139.10576923076923,30.593765120619338,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
marian,marian,FALSE,ESC_035,43048200,EMEF PORTO NOVO,TRUE,237,10,10,3,20.769230769230766,1,49.61538461538461,1,0,1,8.307692307692307,17.365384615384613,0,25.67307692307692,1,139.10576923076923,18.455795949402084,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
marian,marian,FALSE,ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,TRUE,358,18,18,3,43.75,1,34.80769230769231,1,0,1,17.5,12.182692307692307,0,29.682692307692307,1,139.10576923076923,21.33821801340983,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
marian,marian,FALSE,ESC_045,43167535,EMEF SAO PEDRO,TRUE,477,22,22,4,76.39423076923077,1,30.384615384615383,1,0,1,30.55769230769231,10.634615384615383,0,41.19230769230769,1,139.10576923076923,29.612220916568745,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
nathalia,nathalia,FALSE,ESC_004,43105459,EMEF AMERICA,TRUE,261,10,10,2,23.221153846153843,1,40.09615384615385,1,0,1,9.288461538461538,14.033653846153845,0,23.322115384615383,1,169.34134615384616,13.772251085938162,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
nathalia,nathalia,FALSE,ESC_009,43105475,EMEF DECIO MARTINS COSTA,TRUE,511,21,21,3,73.75,1,35.48076923076923,1,0,1,29.5,12.418269230769232,0,41.91826923076923,1,169.34134615384616,24.753712063140565,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
nathalia,nathalia,FALSE,ESC_023,43169490,EMEF JOSE MARIANO BECK,TRUE,329,15,15,4,41.394230769230774,1,21.153846153846153,1,0,1,16.55769230769231,7.403846153846153,0,23.961538461538463,1,169.34134615384616,14.149845271555517,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
nathalia,nathalia,FALSE,ESC_028,43177018,EMEF MIGRANTES,TRUE,80,5,5,3,9.807692307692307,1,31.923076923076923,1,0,1,3.923076923076923,11.173076923076923,0,15.096153846153847,1,169.34134615384616,8.914629645402153,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
nathalia,nathalia,FALSE,ESC_034,43105521,EMEF PEPITA DE LEAO,TRUE,255,12,12,3,28.26923076923077,1,43.65384615384615,1,0,1,11.307692307692308,15.278846153846153,0,26.58653846153846,1,169.34134615384616,15.6999687704057,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
nathalia,nathalia,FALSE,ESC_047,43189253,EMEF TIMBAUVA,TRUE,353,15,15,3,38.50961538461539,1,65.86538461538461,1,0,1,15.403846153846155,23.052884615384613,0,38.45673076923077,1,169.34134615384616,22.7095931635579,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
priscila,priscila,FALSE,ESC_005,43105467,EMEF ARAMY SILVA,TRUE,422,20,20,3,57.74038461538461,1,38.75,1,0,1,23.096153846153847,13.5625,0,36.65865384615385,1,166.31730769230768,22.04139446146731,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
priscila,priscila,FALSE,ESC_013,43106331,EMEF ESPIRITO SANTO,TRUE,54,4,4,1,0.5288461538461539,1,33.26923076923077,1,80,1,0.21153846153846156,11.644230769230768,20,31.85576923076923,1,166.31730769230768,19.153610452679654,TRUE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
priscila,priscila,FALSE,ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,TRUE,574,22,22,4,90.81730769230768,1,66.34615384615384,1,0,1,36.32692307692307,23.221153846153843,0,59.54807692307692,1,166.31730769230768,35.80389662947332,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
priscila,priscila,FALSE,ESC_050,43109101,EMEF VER MARTIM ARANHA,TRUE,333,15,15,4,42.54807692307692,1,60.67307692307693,1,0,1,17.01923076923077,21.235576923076923,0,38.25480769230769,1,166.31730769230768,23.001098456379722,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
ruti,ruti,FALSE,ESC_007,43187560,EMEF CHAPEU DO SOL,TRUE,542,22,22,4,88.50961538461539,1,56.82692307692308,1,0,1,35.40384615384615,19.889423076923077,0,55.293269230769226,1,144.56971153846155,38.246786717879644,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
ruti,ruti,FALSE,ESC_027,43183018,EMEF MARIO QUINTANA,TRUE,233,10,10,2,15.144230769230768,1,64.27884615384616,1,0,1,6.0576923076923075,22.497596153846153,0,28.55528846153846,1,144.56971153846155,19.751916329957933,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
ruti,ruti,FALSE,ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,TRUE,109,5,5,3,12.115384615384615,1,59.71153846153846,1,0,1,4.846153846153847,20.89903846153846,0,25.745192307692307,1,144.56971153846155,17.80815084551304,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
ruti,ruti,FALSE,ESC_053,43105246,EMEM EMILIO MEYER,TRUE,377,18,18,3,46.63461538461539,1,46.63461538461539,1,0,1,18.653846153846157,16.322115384615383,0,34.97596153846154,1,144.56971153846155,24.193146106649372,FALSE,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.,"Contribuição ao escore relativo da carteira; não representa horas, qualidade ou carga total real."
