Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%)
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21192411500000086;33;24;17;71;58;29%;35%;35%;65;68;65;71;41;78;75;82;68;74
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21192411500000087;34;25;19;76;57;26%;37%;37%;76;79;82;71;55;60;75;63;61;55
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21192411500000088;35;24;21;88;72;14%;33%;52%;76;86;88;62;71;75;87;67;64;79
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF AMERICA; 21192411500000113;31;28;23;82;76;13%;22%;65%;76;98;98;65;67;96;75;72;74;59
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF AMERICA; 21192411500000114;32;29;20;69;75;10%;25%;65%;83;83;93;78;63;90;80;57;83;65
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF ARAMY SILVA; 21192411500000135;31;25;21;84;41;52%;19%;29%;79;17;23;57;64;65;60;57;69;69
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF ARAMY SILVA; 21192411500000136;32;19;11;58;78;18%;9%;73%;86;91;86;77;73;79;79;68;86;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF ARAMY SILVA; 21192411500000137;33;24;18;75;39;56%;22%;22%;69;72;64;58;44;57;37;59;58;44
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF ARAMY SILVA; 21192411500000138;34;22;15;68;12;87%;13%;0%;38;14;35;58;35;47;38;54;65;35
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21192411500000169;31;27;22;81;68;23%;23%;55%;84;84;84;41;69;70;85;73;55;83
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21192411500000170;32;27;22;81;85;9%;9%;82%;95;91;82;80;80;91;86;89;82;70
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21192411500000171;33;28;23;82;75;17%;17%;65%;79;78;80;50;84;80;81;98;85;52
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21192411500000172;34;31;28;90;28;57%;39%;4%;57;9;28;39;52;50;49;48;50;52
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000208;31;28;22;79;74;18%;9%;73%;68;91;84;73;70;79;86;82;73;80
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000209;32;28;20;71;50;45%;20%;35%;65;83;73;50;53;65;70;68;43;45
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000210;33ALFA;24;19;79;42;53%;21%;26%;82;74;55;63;55;68;65;58;34;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000211;34;28;22;79;49;45%;23%;32%;68;66;66;50;43;55;68;62;66;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000212;35;28;23;82;22;65%;30%;4%;52;59;45;59;35;39;49;33;37;46
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF DOLORES ALCARAZ CALDAS; 21192411500000213;36;27;19;70;35;42%;53%;5%;63;28;33;71;58;74;60;66;58;61
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000246;31;25;15;60;75;7%;27%;67%;83;97;97;67;70;76;89;67;77;61
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000247;32;28;15;54;40;53%;27%;20%;60;87;83;37;43;53;58;70;33;60
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000248;33;25;18;72;70;11%;33%;56%;81;81;94;86;47;80;69;75;67;81
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21192411500000249;34;25;17;68;60;24%;41%;35%;71;82;82;62;62;65;67;76;71;65
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000286;31;26;21;81;61;33%;24%;43%;76;74;81;45;71;86;70;71;69;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000287;32;25;19;76;22;68%;32%;0%;63;19;25;53;47;53;61;71;47;56
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000288;33;22;19;86;51;26%;47%;26%;82;87;76;50;44;63;75;61;47;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21192411500000289;34;24;18;75;79;6%;33%;61%;81;89;94;69;78;78;83;72;81;81
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000320;31;25;21;84;68;10%;33%;57%;86;97;100;79;71;76;62;81;74;60
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000321;32;27;21;78;51;38%;24%;38%;74;79;83;48;48;67;70;79;55;52
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF NOSSA SENHORA DE FATIMA; 21192411500000322;33;23;20;87;39;55%;30%;15%;68;70;75;50;35;57;48;73;60;55
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21192411500000347;31;25;20;80;46;40%;35%;25%;73;78;78;50;53;57;70;48;40;63
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21192411500000348;32;22;15;68;21;67%;33%;0%;86;15;14;47;50;50;60;46;54;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PEPITA DE LEAO; 21192411500000349;33;21;14;67;42;43%;43%;14%;64;64;93;21;43;48;64;68;50;64
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21192411500000366;31;26;19;73;59;37%;16%;47%;79;82;79;42;59;58;74;79;75;83
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRESIDENTE VARGAS; 21192411500000367;32;25;16;64;51;38%;25%;38%;78;83;66;31;53;52;77;57;63;72
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000387;31;27;27;100;5;93%;7%;0%;38;8;2;46;64;44;27;6;73;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000388;32;27;21;78;24;62%;38%;0%;62;33;40;36;57;54;56;52;50;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000389;33;25;16;64;15;75%;25%;0%;50;23;29;47;57;40;54;23;56;28
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF HEITOR VILLA LOBOS; 21192411500000390;34;26;19;73;39;53%;11%;37%;67;68;66;39;34;51;54;58;75;50
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEB PROFESSORA LEOPOLDA BARNEWITZ; 21192411500000414;31;26;20;77;73;20%;10%;70%;90;85;92;80;70;72;77;78;74;76
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000427;31;25;11;44;61;36%;9%;55%;91;82;91;73;59;79;70;55;55;68
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000428;32;27;23;85;58;22%;39%;39%;61;87;89;39;57;80;57;70;67;70
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000429;33;24;19;79;43;53%;21%;26%;66;74;76;32;53;49;60;58;47;66
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000430;34;28;21;75;47;29%;57%;14%;90;10;19;79;81;87;60;67;69;79
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GOV ILDO MENEGHETTI; 21192411500000431;35;24;16;67;15;81%;19%;0%;19;53;70;34;21;52;58;40;17;47
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000464;31;26;16;62;64;31%;13%;56%;84;81;72;88;70;71;67;59;69;63
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000465;32;27;19;70;49;42%;32%;26%;63;79;95;66;63;54;54;61;58;61
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000466;33;25;21;84;71;14%;19%;67%;83;88;93;81;52;75;83;40;79;79
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000467;34;23;14;61;66;29%;7%;64%;75;85;82;82;39;69;71;61;75;71
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF SEN ALBERTO PASQUALINI; 21192411500000468;35;24;14;58;73;7%;43%;50%;64;79;79;54;64;81;83;79;86;86
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500000502;31;12;10;83;80;10%;20%;70%;80;85;70;55;85;80;83;80;90;90
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500000504;33;17;14;82;89;0%;14%;86%;82;93;93;100;82;88;95;50;86;89
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PRES JOAO BELCHIOR MARQUES GOULART; 21192411500001846;35;42;28;67;60;18%;43%;39%;87;52;61;75;64;81;79;43;74;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000530;31;24;15;63;31;53%;33%;13%;62;50;63;37;57;69;51;53;50;54
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000531;32;28;18;64;29;67%;17%;17%;50;58;67;42;44;48;50;31;47;47
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000532;33;27;18;67;42;39%;44%;17%;58;94;78;56;47;63;50;69;35;36
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF GRANDE ORIENTE DO RGS; 21192411500000533;34;27;20;74;37;50%;30%;20%;38;87;78;60;45;47;65;40;50;63
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000562;31;27;25;93;59;20%;44%;36%;68;96;96;72;62;79;63;62;54;66
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000563;32;27;22;81;55;32%;32%;36%;75;75;75;64;57;67;64;66;50;61
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PROF JUDITH MACEDO DE ARAUJO; 21192411500000564;33;26;19;73;41;32%;63%;5%;66;14;21;87;68;79;70;82;71;55
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000586;31;23;16;70;60;25%;44%;31%;63;78;81;81;63;69;79;72;59;69
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21192411500000587;32;23;19;83;48;37%;37%;26%;63;89;87;55;58;61;65;47;50;45
