ordem_coluna,variavel,origem,classe_r,unidade,nivel_analise,descricao,observacao_metodologica,valores_ausentes,valores_distintos
18,requer_revisao_tecnica,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: requer revisao tecnica. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
19,divergencia_censo_cadastro,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: divergencia censo cadastro. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
20,contexto_2024_encontrado,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: contexto 2024 encontrado. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,1
21,estratos_corrigidos_disponiveis,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: estratos corrigidos disponiveis. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
22,incluir_universo_municipal_direto_2024,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: incluir universo municipal direto 2024. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
23,incluir_universo_municipal_ampliado_2024,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: incluir universo municipal ampliado 2024. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
24,incluir_rede_municipal_operacional_2025,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: incluir rede municipal operacional 2025. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
25,quantidade_matricula_educacao_basica,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade matricula educacao basica. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,55
26,matriculas_anos_iniciais,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: matriculas anos iniciais. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,51
27,turmas_anos_iniciais,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: turmas anos iniciais. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,20
28,docentes_anos_iniciais,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: docentes anos iniciais. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,26
29,alunos_por_turma_anos_iniciais,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: alunos por turma anos iniciais. Consulte o dicionário da base analítica final para a definição operacional completa.,,1,50
30,alunos_por_docente_anos_iniciais,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: alunos por docente anos iniciais. Consulte o dicionário da base analítica final para a definição operacional completa.,,1,55
31,porte_anos_iniciais,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: porte anos iniciais. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,4
32,quartil_porte_anos_iniciais,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: quartil porte anos iniciais. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,4
33,faixa_porte_contextual_escola,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: faixa porte contextual escola. Consulte o dicionário da base analítica final para a definição operacional completa.,,2,4
34,numero_etapas_amplas_ofertadas,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: numero etapas amplas ofertadas. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,4
35,oferta_educacao_infantil,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: oferta educacao infantil. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
36,oferta_anos_finais,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: oferta anos finais. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
37,oferta_eja,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: oferta eja. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
38,oferta_educacao_especial,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: oferta educacao especial. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
39,pct_matriculas_anos_iniciais_integral,dim_escola_final,numeric,percentual,escola,Variável herdada da dimensão final de escolas: pct matriculas anos iniciais integral. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,38
40,pct_matriculas_educacao_especial,dim_escola_final,numeric,percentual,escola,Variável herdada da dimensão final de escolas: pct matriculas educacao especial. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,56
41,pct_matriculas_transporte_publico,dim_escola_final,numeric,percentual,escola,Variável herdada da dimensão final de escolas: pct matriculas transporte publico. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,42
42,pct_matriculas_preta_parda_indigena,dim_escola_final,numeric,percentual,escola,Variável herdada da dimensão final de escolas: pct matriculas preta parda indigena. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,56
43,indice_infraestrutura_basica,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: indice infraestrutura basica. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,5
44,quartil_infraestrutura_escola,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: quartil infraestrutura escola. Consulte o dicionário da base analítica final para a definição operacional completa.,,2,3
45,numero_itens_infraestrutura_presentes,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: numero itens infraestrutura presentes. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,5
46,quantidade_sala_utilizada,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade sala utilizada. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,24
47,quantidade_sala_utilizada_climatizada,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade sala utilizada climatizada. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,9
48,quantidade_sala_utilizada_acessivel,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade sala utilizada acessivel. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,14
49,possui_espaco_leitura,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: possui espaco leitura. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
50,possui_recurso_acessibilidade,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: possui recurso acessibilidade. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
51,laboratorio_ciencias,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: laboratorio ciencias. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
52,laboratorio_informatica,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: laboratorio informatica. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
53,quadra_esportes,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: quadra esportes. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
54,internet_aprendizagem,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: internet aprendizagem. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
55,internet_alunos,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: internet alunos. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
56,sala_atendimento_especial,dim_escola_final,numeric,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: sala atendimento especial. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
57,quantidade_computador_portatil_aluno,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade computador portatil aluno. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,45
58,quantidade_tablet_aluno,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade tablet aluno. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,9
59,quantidade_profissional_coordenador,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade profissional coordenador. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,6
60,quantidade_profissional_psicologo,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade profissional psicologo. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,3
61,quantidade_profissional_assistente_social,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade profissional assistente social. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,5
62,quantidade_profissional_monitor,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade profissional monitor. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,3
63,quantidade_profissional_pedagogia,dim_escola_final,numeric,contagem,escola,Variável herdada da dimensão final de escolas: quantidade profissional pedagogia. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,12
64,numero_series_esperadas,derivada no módulo 16,integer,contagem,escola,Número de anos escolares distintos representados para a escola no painel atual.,,0,1
65,numero_series_presentes_2025,derivada no módulo 16,integer,contagem,escola,Número de séries com registro de presença na avaliação de 2025.,,0,3
66,numero_series_presentes_2026,derivada no módulo 16,integer,contagem,escola,Número de séries com registro de presença na avaliação de 2026.,,0,2
67,numero_series_resultado_2025,derivada no módulo 16,integer,contagem,escola,Número de séries com resultado disponível em 2025.,,0,3
68,numero_series_resultado_2026,derivada no módulo 16,integer,contagem,escola,Número de séries com resultado disponível em 2026.,,0,2
69,numero_series_comparaveis,derivada no módulo 16,integer,contagem,escola,Número de séries com resultados disponíveis e comparáveis em 2025 e 2026.,,0,4
70,proporcao_series_comparaveis,derivada no módulo 16,numeric,percentual,escola,Percentual das séries representadas que possuem resultados comparáveis nos dois anos.,,0,4
71,painel_completo_cinco_series,derivada no módulo 16,logical,indicador lógico,escola,Indica se a escola possui resultados comparáveis do 1º ao 5º ano.,,0,2
72,previstos_total_2025,derivada no módulo 16,numeric,contagem,escola,Soma dos estudantes previstos nas séries com informação disponível em 2025.,,2,51
73,avaliados_total_2025,derivada no módulo 16,numeric,contagem,escola,Soma dos estudantes avaliados nas séries com informação disponível em 2025.,,2,46
74,taxa_participacao_escola_2025,derivada no módulo 16,numeric,percentual,escola,"Participação agregada da escola em 2025, calculada por 100 vezes avaliados totais dividido por previstos totais.",,2,54
75,faixa_participacao_escola_2025,derivada no módulo 16,character,conforme variável de origem,escola,Indicador derivado no módulo 16: faixa participacao escola 2025. Consulte o script para a regra de cálculo.,,2,4
76,proficiencia_multisserie_ponderada_2025,derivada no módulo 16,numeric,escala de proficiência,escola,"Síntese multissérie da proficiência de 2025, ponderada pelo número de estudantes avaliados em cada série.",Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,2,54
77,pct_defasagem_multisserie_ponderado_2025,derivada no módulo 16,numeric,percentual,escola,"Percentual multissérie em defasagem em 2025, ponderado pelos estudantes avaliados.",,2,54
78,pct_intermediario_multisserie_ponderado_2025,derivada no módulo 16,numeric,percentual,escola,"Percentual multissérie no padrão intermediário em 2025, ponderado pelos estudantes avaliados.",,2,54
79,pct_adequado_multisserie_ponderado_2025,derivada no módulo 16,numeric,percentual,escola,"Percentual multissérie no padrão adequado em 2025, ponderado pelos estudantes avaliados.",,2,54
80,previstos_total_2026,derivada no módulo 16,numeric,contagem,escola,Soma dos estudantes previstos nas séries com informação disponível em 2026.,,0,52
81,avaliados_total_2026,derivada no módulo 16,numeric,contagem,escola,Soma dos estudantes avaliados nas séries com informação disponível em 2026.,,0,53
82,taxa_participacao_escola_2026,derivada no módulo 16,numeric,percentual,escola,"Participação agregada da escola em 2026, calculada por 100 vezes avaliados totais dividido por previstos totais.",,0,56
83,faixa_participacao_escola_2026,derivada no módulo 16,character,conforme variável de origem,escola,Indicador derivado no módulo 16: faixa participacao escola 2026. Consulte o script para a regra de cálculo.,,0,4
84,proficiencia_multisserie_ponderada_2026,derivada no módulo 16,numeric,escala de proficiência,escola,"Síntese multissérie da proficiência de 2026, ponderada pelo número de estudantes avaliados em cada série.",Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,0,56
85,pct_defasagem_multisserie_ponderado_2026,derivada no módulo 16,numeric,percentual,escola,"Percentual multissérie em defasagem em 2026, ponderado pelos estudantes avaliados.",,0,56
86,pct_intermediario_multisserie_ponderado_2026,derivada no módulo 16,numeric,percentual,escola,"Percentual multissérie no padrão intermediário em 2026, ponderado pelos estudantes avaliados.",,0,56
87,pct_adequado_multisserie_ponderado_2026,derivada no módulo 16,numeric,percentual,escola,"Percentual multissérie no padrão adequado em 2026, ponderado pelos estudantes avaliados.",,0,55
88,delta_participacao_escola,derivada no módulo 16,numeric,pontos percentuais,escola,"Diferença, em pontos percentuais, entre as participações agregadas de 2026 e 2025.",Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,2,54
89,direcao_delta_participacao_escola,derivada no módulo 16,character,pontos percentuais,escola,Indicador derivado no módulo 16: direcao delta participacao escola. Consulte o script para a regra de cálculo.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,0,3
90,delta_proficiencia_multisserie_ponderada,derivada no módulo 16,numeric,pontos da escala de proficiência,escola,Diferença entre as sínteses multissérie ponderadas de proficiência de 2026 e 2025.,Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,2,54
91,direcao_delta_proficiencia_multisserie,derivada no módulo 16,character,conforme variável de origem,escola,Indicador derivado no módulo 16: direcao delta proficiencia multisserie. Consulte o script para a regra de cálculo.,Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,0,3
92,delta_pct_defasagem_multisserie_ponderado,derivada no módulo 16,numeric,pontos percentuais,escola,"Diferença, em pontos percentuais, do percentual multissérie em defasagem entre 2026 e 2025.",Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,2,54
93,delta_pct_intermediario_multisserie_ponderado,derivada no módulo 16,numeric,pontos percentuais,escola,"Diferença, em pontos percentuais, do percentual multissérie intermediário entre 2026 e 2025.",Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,2,54
94,delta_pct_adequado_multisserie_ponderado,derivada no módulo 16,numeric,pontos percentuais,escola,"Diferença, em pontos percentuais, do percentual multissérie adequado entre 2026 e 2025.",Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,2,54
95,variacao_relativa_previstos_escola,derivada no módulo 16,numeric,percentual,escola,Variação percentual do total de estudantes previstos entre 2025 e 2026.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,2,54
96,variacao_relativa_avaliados_escola,derivada no módulo 16,numeric,percentual,escola,Variação percentual do total de estudantes avaliados entre 2025 e 2026.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,2,53
97,amplitude_participacao_series_2025,derivada no módulo 16,numeric,conforme variável de origem,escola,Diferença entre a maior e a menor participação das séries da escola em 2025.,,2,54
98,amplitude_participacao_series_2026,derivada no módulo 16,numeric,conforme variável de origem,escola,Diferença entre a maior e a menor participação das séries da escola em 2026.,,0,55
99,desvio_participacao_series_2025,derivada no módulo 16,numeric,conforme variável de origem,escola,Indicador derivado no módulo 16: desvio participacao series 2025. Consulte o script para a regra de cálculo.,,2,54
100,desvio_participacao_series_2026,derivada no módulo 16,numeric,conforme variável de origem,escola,Indicador derivado no módulo 16: desvio participacao series 2026. Consulte o script para a regra de cálculo.,,1,55
101,amplitude_proficiencia_series_2025,derivada no módulo 16,numeric,conforme variável de origem,escola,Diferença entre a maior e a menor proficiência média das séries da escola em 2025.,Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,2,54
102,amplitude_proficiencia_series_2026,derivada no módulo 16,numeric,conforme variável de origem,escola,Diferença entre a maior e a menor proficiência média das séries da escola em 2026.,Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,0,56
103,desvio_proficiencia_series_2025,derivada no módulo 16,numeric,conforme variável de origem,escola,Indicador derivado no módulo 16: desvio proficiencia series 2025. Consulte o script para a regra de cálculo.,Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,2,54
104,desvio_proficiencia_series_2026,derivada no módulo 16,numeric,conforme variável de origem,escola,Indicador derivado no módulo 16: desvio proficiencia series 2026. Consulte o script para a regra de cálculo.,Síntese entre séries para apoio gerencial; a interpretação substantiva deve considerar cada ano escolar separadamente.,1,55
105,numero_series_delta_proficiencia_positivo,derivada no módulo 16,integer,contagem,escola,Número de séries com variação positiva de proficiência entre 2025 e 2026.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,0,5
106,numero_series_delta_proficiencia_negativo,derivada no módulo 16,integer,contagem,escola,Número de séries com variação negativa de proficiência entre 2025 e 2026.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,0,6
107,proporcao_series_delta_proficiencia_positivo,derivada no módulo 16,numeric,percentual,escola,Percentual das séries comparáveis com variação positiva de proficiência.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,2,6
108,numero_series_participacao_abaixo_70_2025,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series participacao abaixo 70 2025. Consulte o script para a regra de cálculo.,,0,5
109,numero_series_participacao_abaixo_70_2026,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series participacao abaixo 70 2026. Consulte o script para a regra de cálculo.,,0,4
110,numero_series_participacao_abaixo_80_2025,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series participacao abaixo 80 2025. Consulte o script para a regra de cálculo.,,0,6
111,numero_series_participacao_abaixo_80_2026,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series participacao abaixo 80 2026. Consulte o script para a regra de cálculo.,,0,6
112,numero_series_participacao_abaixo_90_2025,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series participacao abaixo 90 2025. Consulte o script para a regra de cálculo.,,0,5
113,numero_series_participacao_abaixo_90_2026,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series participacao abaixo 90 2026. Consulte o script para a regra de cálculo.,,0,6
114,numero_series_aumento_participacao_10pp,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series aumento participacao 10pp. Consulte o script para a regra de cálculo.,,0,6
115,numero_series_queda_participacao_10pp,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series queda participacao 10pp. Consulte o script para a regra de cálculo.,,0,3
116,numero_series_mudanca_previstos_20pct,derivada no módulo 16,integer,contagem,escola,Indicador derivado no módulo 16: numero series mudanca previstos 20pct. Consulte o script para a regra de cálculo.,,0,6
117,numero_series_alerta_composicao,derivada no módulo 16,integer,contagem,escola,Número de séries com aumento ou queda de participação de pelo menos 10 p.p. ou variação de previstos superior a 20%.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,0,6
118,possui_alerta_composicao,derivada no módulo 16,logical,indicador lógico,escola,Indica se ao menos uma série apresenta alerta descritivo de mudança de participação ou composição.,Medida descritiva; mudanças de participação e composição limitam comparações diretas entre anos.,0,2
119,observacoes_composicao,derivada no módulo 16,character,conforme variável de origem,escola,Conjunto das observações de composição registradas nas séries da escola.,,0,19
