entrada,caminho,tamanho_bytes,hash_md5
componentes_indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_indice_carga_potencial.rds,6296,b6e7dad6279590c3c492966fd4544708
diagnostico_educacional_escola_serie_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,100732,c6a452965a7398de2ea6892e1113a833
diagnostico_educacional_escola_serie_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,17332,37996354b10460a4d2bcc3969a7ed667
analise_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.csv,6717,09a39c8ff8e99a2e08fa8dcaf1934c8d
analise_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.rds,2051,fd5e0f3a600d7effe9fb49b8f94ae43a
detalhe_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,24570,b67c3e52c04086242866809eed56089c
detalhe_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,4071,2ff7621b617715722b652d956d5e2b11
diagnostico_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.csv,6653,8526e7bb50d2a85ac34e60197ec94595
diagnostico_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.rds,1699,4f471bbb40ec0020ddea61a6cfec230b
composicao_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.csv,19967,1381da73d8e195fd691e41ee8d873274
composicao_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.rds,1318,82d8ea30fb598c6a9380d500219fa79c
universo_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.csv,9009,e2e9d076ae09d8f605c994a97afb722c
universo_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.rds,2051,36cb738f4233fdab02e38ca0344f0db4
indice_fichas_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.csv,5778,013d69c7dc6754239e7085664168c3c1
indice_fichas_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_carteiras.rds,775,503664ba7a60a26df40e5c3ee15da87e
